categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
true;false;false;false;false;false;false;true;false;false;true;false;false;false;false;121;11230
true;true;false;false;false;true;true;false;false;false;true;false;false;false;false;419;11240
true;true;false;false;false;true;true;false;false;false;true;false;false;false;false;419;11250
true;true;false;false;false;true;true;false;false;false;true;false;false;false;false;115;11260
true;true;false;false;false;false;true;true;false;false;true;false;false;false;false;154;11280
true;false;false;false;false;true;true;false;true;true;false;false;false;false;false;187;11330
true;false;false;false;false;true;false;false;true;false;false;false;false;false;false;330;11340
true;false;false;false;false;false;false;false;true;true;false;false;false;false;false;168;11360
true;false;false;false;false;true;false;false;false;true;false;false;false;false;false;2729;11370
true;false;false;false;false;true;false;false;true;false;false;false;false;false;false;938;11390
true;true;false;false;false;true;true;false;false;false;false;false;true;true;false;716;11450
true;false;false;false;false;false;false;true;false;false;false;false;false;false;false;409;11480
true;false;false;false;false;true;true;false;false;false;false;false;false;false;false;377;11560
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;7107;11590
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;154;11610
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;556;11900
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;4267;11920
true;false;false;false;false;false;false;false;false;true;false;false;false;false;false;132;12100
true;false;false;false;false;false;true;true;false;false;false;false;false;false;false;783;12110
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;5452;12120
true;true;false;false;false;false;true;false;false;false;true;false;false;false;false;2701;12130
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;945;12140
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;1088;12150
true;false;false;false;false;false;true;false;false;true;false;false;false;false;false;446;12160
true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;1333;12170
true;true;false;false;false;true;true;false;false;false;false;false;false;false;false;904;12180
true;false;false;false;false;false;true;false;false;false;true;false;false;false;false;15728;12200
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;25180;12210
true;true;false;false;false;false;true;true;false;false;false;false;false;false;false;550;12220
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;294;12310
true;false;true;false;false;false;true;false;false;false;false;false;false;false;false;110;12320
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;3981;12330
